""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"OTU"	"row2"	"names"	"gs"	"abundance"	"sig"	"pch"
"306"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__"	0.677059306320437	3.94283845212838	2.65663570105484	1.48414720564165	0.137769872189133	0.283643854507039	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Veillonellaceae"	"g__Dialister"	"s__"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__"	"583746"	"g__Dialister.s__"	1.50951534559915e-05	0.547226621521434	19
"307"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera.s__"	0.975865625396253	4.41792146004927	2.9802239911079	1.48241255463718	0.138230555441358	0.283665309211908	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Veillonellaceae"	"g__Megasphaera"	"s__"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera.s__"	"4375664"	"g__Megasphaera.s__"	3.11126081389921e-05	0.547193772907185	19
"308"	"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__.s__"	34.6744428432853	-2.49757855493889	1.68850765257294	-1.47916330206327	0.139096675036179	0.283994397921985	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Comamonadaceae"	"g__"	"s__"	"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__.s__"	"719367"	"g__.s__"	0.00304784869742192	0.546690226768333	19
"309"	"k__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Gemmatales.f__Isosphaeraceae.g__.s__"	0.967981132786067	4.40124037648522	2.98036036596259	1.47674772042666	0.139743275167961	0.283994397921985	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Gemmatales"	"f__Isosphaeraceae"	"g__"	"s__"	"k__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Gemmatales.f__Isosphaeraceae.g__.s__"	"868555"	"g__.s__"	3.81889829557795e-05	0.546690226768333	19
"310"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Butyrivibrio.s__"	0.96306137263544	4.40252813485459	2.98034978222033	1.47718504758014	0.139626040767073	0.283994397921985	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Butyrivibrio"	"s__"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Butyrivibrio.s__"	"92512"	"g__Butyrivibrio.s__"	3.65476864537624e-05	0.546690226768333	19
"311"	"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__"	0.960219511386674	4.39564066457263	2.98040649757208	1.47484602122343	0.14025394522763	0.284115708982016	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__"	"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__"	"1069816"	"g__Corynebacterium.s__"	1.95736851377009e-05	0.546504753128186	19
"312"	"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__"	0.682596726320092	3.60411710738594	2.45235277611903	1.46965687093748	0.141654709167893	0.285838029596538	"k__Bacteria"	"p__Fusobacteria"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium"	"s__"	"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__"	"2297428"	"g__Fusobacterium.s__"	1.994814448582e-05	0.54387999057241	19
"313"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__brevis"	0.934449114010511	4.36177972131878	2.98068926514851	1.46334600265736	0.143372725956359	0.285838029596538	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__brevis"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__brevis"	"578837"	"g__Lactobacillus.s__brevis"	0.0005405970948775	0.54387999057241	19
"314"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__[Acidaminobacteraceae].g__Fusibacter.s__"	0.934449114010511	4.36177972131878	2.98068926514851	1.46334600265736	0.143372725956359	0.285838029596538	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__[Acidaminobacteraceae]"	"g__Fusibacter"	"s__"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__[Acidaminobacteraceae].g__Fusibacter.s__"	"544542"	"g__Fusibacter.s__"	4.74113407927176e-05	0.54387999057241	19
"315"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__"	0.934449114010511	4.36177972131878	2.98068926514851	1.46334600265736	0.143372725956359	0.285838029596538	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__"	"s__"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__"	"759751"	"g__.s__"	4.74113407927176e-05	0.54387999057241	19
